Ampara had a total precipitation of 144.00 hours with a mean temperature of 25.13 for the 1st month in 2015
Ampara had a total precipitation of 323.00 hours with a mean temperature of 26.54 for the 10th month in 2015
Ampara had a total precipitation of 348.00 hours with a mean temperature of 25.77 for the 11th month in 2015
Ampara had a total precipitation of 440.00 hours with a mean temperature of 25.57 for the 12th month in 2015
Ampara had a total precipitation of 297.00 hours with a mean temperature of 24.87 for the 2nd month in 2015
Ampara had a total precipitation of 179.00 hours with a mean temperature of 26.07 for the 3rd month in 2015
Ampara had a total precipitation of 176.00 hours with a mean temperature of 27.20 for the 4th month in 2015
Ampara had a total precipitation of 117.00 hours with a mean temperature of 28.12 for the 5th month in 2015
Ampara had a total precipitation of 79.00 hours with a mean temperature of 28.80 for the 6th month in 2015
Ampara had a total precipitation of 40.00 hours with a mean temperature of 29.38 for the 7th month in 2015
Ampara had a total precipitation of 66.00 hours with a mean temperature of 28.89 for the 8th month in 2015
Ampara had a total precipitation of 101.00 hours with a mean temperature of 28.06 for the 9th month in 2015
Ampara had a total precipitation of 176.00 hours with a mean temperature of 25.63 for the 1st month in 2016
Ampara had a total precipitation of 123.00 hours with a mean temperature of 28.80 for the 10th month in 2016
Ampara had a total precipitation of 318.00 hours with a mean temperature of 25.80 for the 11th month in 2016
Ampara had a total precipitation of 186.00 hours with a mean temperature of 25.52 for the 12th month in 2016
Ampara had a total precipitation of 173.00 hours with a mean temperature of 26.28 for the 2nd month in 2016
Ampara had a total precipitation of 135.00 hours with a mean temperature of 27.33 for the 3rd month in 2016
Ampara had a total precipitation of 95.00 hours with a mean temperature of 28.88 for the 4th month in 2016
Ampara had a total precipitation of 193.00 hours with a mean temperature of 28.27 for the 5th month in 2016
Ampara had a total precipitation of 35.00 hours with a mean temperature of 29.27 for the 6th month in 2016
Ampara had a total precipitation of 72.00 hours with a mean temperature of 29.35 for the 7th month in 2016
Ampara had a total precipitation of 41.00 hours with a mean temperature of 29.39 for the 8th month in 2016
Ampara had a total precipitation of 29.00 hours with a mean temperature of 29.40 for the 9th month in 2016
Ampara had a total precipitation of 252.00 hours with a mean temperature of 24.32 for the 1st month in 2017
Ampara had a total precipitation of 183.00 hours with a mean temperature of 27.68 for the 10th month in 2017
Ampara had a total precipitation of 354.00 hours with a mean temperature of 25.61 for the 11th month in 2017
Ampara had a total precipitation of 267.00 hours with a mean temperature of 25.21 for the 12th month in 2017
Ampara had a total precipitation of 198.00 hours with a mean temperature of 24.65 for the 2nd month in 2017
Ampara had a total precipitation of 184.00 hours with a mean temperature of 26.23 for the 3rd month in 2017
Ampara had a total precipitation of 84.00 hours with a mean temperature of 28.06 for the 4th month in 2017
Ampara had a total precipitation of 107.00 hours with a mean temperature of 28.89 for the 5th month in 2017
Ampara had a total precipitation of 56.00 hours with a mean temperature of 29.93 for the 6th month in 2017
Ampara had a total precipitation of 71.00 hours with a mean temperature of 30.35 for the 7th month in 2017
Ampara had a total precipitation of 89.00 hours with a mean temperature of 29.60 for the 8th month in 2017
Ampara had a total precipitation of 121.00 hours with a mean temperature of 28.11 for the 9th month in 2017
Ampara had a total precipitation of 151.00 hours with a mean temperature of 24.40 for the 1st month in 2018
Ampara had a total precipitation of 376.00 hours with a mean temperature of 26.09 for the 10th month in 2018
Ampara had a total precipitation of 436.00 hours with a mean temperature of 25.57 for the 11th month in 2018
Ampara had a total precipitation of 331.00 hours with a mean temperature of 25.04 for the 12th month in 2018
Ampara had a total precipitation of 225.00 hours with a mean temperature of 24.81 for the 2nd month in 2018
Ampara had a total precipitation of 263.00 hours with a mean temperature of 26.10 for the 3rd month in 2018
Ampara had a total precipitation of 218.00 hours with a mean temperature of 26.83 for the 4th month in 2018
Ampara had a total precipitation of 161.00 hours with a mean temperature of 27.10 for the 5th month in 2018
Ampara had a total precipitation of 68.00 hours with a mean temperature of 28.40 for the 6th month in 2018
Ampara had a total precipitation of 52.00 hours with a mean temperature of 29.85 for the 7th month in 2018
Ampara had a total precipitation of 57.00 hours with a mean temperature of 29.81 for the 8th month in 2018
